turbidity,tds,temp,ph,inFlowLpm,outFlowLpm,label
4.294,200,29.0,7.07,0.138,0.604,med
3.203,200,27.0,5.19,0.781,0.897,max
11.237,364,39.8,4.3,0.499,0.104,max
5.329,277,40.2,7.29,0.191,1.039,med
4.477,287,24.4,7.04,0.851,0.22,max
3.947,280,29.4,5.45,0.999,0.177,max
3.756,127,39.0,7.04,0.634,0.744,med
0.585,9,23.1,7.49,0.856,0.957,min
4.117,165,24.1,9.92,0.459,0.355,max
3.959,159,43.5,8.42,0.212,0.389,med
4.591,342,44.9,7.76,1.132,1.074,med
0.683,23,21.0,6.99,0.826,0.983,min
4.706,184,34.0,7.21,0.248,0.264,max
5.047,193,31.2,6.0,0.689,0.177,max
2.95,394,34.7,7.06,0.807,0.745,med
0.942,23,21.9,7.28,0.936,1.122,min
4.326,258,25.1,5.71,1.164,0.598,max
5.206,221,27.7,6.19,0.954,0.921,max
3.333,181,30.0,7.64,0.808,0.317,max
4.352,299,32.2,8.41,1.002,0.519,max
4.709,165,30.2,6.85,1.194,0.923,max
4.765,238,33.1,7.08,0.391,0.794,max
5.242,276,23.0,6.45,0.461,0.743,max
3.355,153,38.1,9.87,0.771,1.145,max
4.066,176,43.9,5.69,0.447,0.443,med
5.27,243,29.9,9.66,0.763,0.753,max
11.913,448,47.1,4.77,0.142,0.386,max
4.114,200,22.5,7.76,0.745,0.256,max
4.467,339,40.9,7.29,1.147,0.526,med
3.189,248,34.8,5.23,1.055,0.692,max
2.927,163,42.7,7.63,0.72,0.513,max
3.08,405,34.8,6.85,0.304,0.724,med
9.379,424,41.2,3.54,0.487,0.336,max
0.135,8,23.6,6.57,0.829,0.755,min
4.105,90,31.6,6.16,0.876,0.705,med
3.741,228,25.8,7.74,0.323,0.599,med
2.842,224,29.2,7.76,0.619,1.085,max
3.885,67,39.3,7.16,0.398,0.618,max
11.276,307,43.1,4.44,0.165,0.239,max
3.665,272,39.2,5.01,0.861,0.814,max
3.161,325,43.7,7.41,0.611,0.512,max
10.037,384,48.8,5.41,0.304,0.231,max
4.679,225,37.7,7.3,0.572,0.569,med
4.207,394,36.7,6.04,0.272,0.568,max
3.797,137,39.1,6.62,0.515,0.336,med
0.778,33,24.3,7.37,1.083,1.085,min
4.579,265,41.0,6.34,0.142,0.439,med
4.19,192,23.7,6.55,0.885,0.872,med
4.904,268,42.3,7.04,1.101,0.96,max
2.692,171,35.9,6.07,0.144,0.634,med
3.341,328,38.1,6.18,0.975,0.898,max
2.8,156,30.8,8.15,0.387,0.399,med
4.066,370,37.4,7.88,0.874,0.269,max
3.664,352,27.3,8.11,0.583,0.211,med
3.807,135,22.5,7.18,0.768,0.717,max
3.647,103,30.5,5.53,0.754,0.815,med
0.133,10,22.3,7.43,0.926,0.953,min
3.962,132,21.9,8.42,1.067,0.558,max
3.613,234,24.2,4.92,0.838,0.447,max
0.69,28,21.3,6.85,0.873,1.113,min
4.911,268,35.4,6.77,0.299,0.094,med
3.352,205,40.3,7.0,1.057,0.459,max
3.506,112,31.0,7.46,0.547,0.614,med
16.455,357,36.9,4.67,0.132,0.227,max
4.544,183,41.3,7.04,0.63,0.749,max
0.398,30,22.0,6.94,1.162,0.889,min
2.528,183,26.2,6.77,0.668,0.457,med
3.285,141,31.1,4.92,0.821,0.579,med
3.595,142,35.0,7.04,0.613,0.358,max
6.227,192,39.7,7.4,0.488,1.004,med
2.957,170,33.1,8.16,0.832,0.608,max
17.236,379,39.7,4.18,0.442,0.186,max
5.199,164,33.2,5.65,0.297,0.245,max
3.662,191,37.0,6.65,0.22,0.502,max
3.856,123,43.0,7.02,0.514,0.372,med
4.225,189,26.8,8.21,1.182,0.785,max
3.681,139,20.2,9.3,0.73,0.718,max
4.04,137,25.8,7.48,0.552,0.245,med
0.111,34,20.9,7.46,0.859,0.916,min
4.214,200,21.9,7.12,0.405,0.484,max
5.37,145,31.5,5.65,0.144,0.113,max
4.409,401,22.3,3.99,0.309,0.208,max
4.298,149,40.4,7.04,0.902,1.16,max
2.771,190,37.6,6.57,0.847,1.009,max
18.692,383,42.3,3.62,0.237,0.391,max
5.37,386,34.6,10.5,0.938,0.527,med
2.0,147,26.2,6.91,0.686,0.839,med
4.763,180,22.5,7.1,0.99,0.979,max
4.126,104,40.7,7.04,0.188,0.464,max
3.237,192,26.2,5.77,0.842,0.626,med
2.834,106,31.3,8.39,0.378,0.195,max
4.076,127,28.8,5.87,0.631,0.624,med
3.311,277,28.3,5.29,0.443,0.429,max
4.507,359,35.6,5.42,1.078,0.323,med
13.568,459,35.4,4.42,0.447,0.283,max
3.532,286,36.0,5.29,0.956,0.302,max
2.287,115,39.5,7.96,1.016,0.967,med
5.051,212,26.5,5.99,0.891,0.883,max
3.207,265,40.4,7.04,1.162,0.313,max
4.871,348,31.6,6.65,0.938,0.197,max
5.206,312,44.2,4.2,0.552,0.949,max
5.11,301,33.5,6.3,0.434,0.542,med
4.504,240,33.1,9.18,0.696,0.512,max
4.403,249,35.9,6.15,0.653,0.52,max
3.045,499,44.0,4.04,0.615,0.687,med
4.499,257,42.6,6.44,0.845,0.661,med
3.228,287,44.2,7.04,1.037,0.817,max
3.306,171,25.8,7.98,0.967,0.899,max
3.382,128,24.8,8.21,0.146,0.851,max
2.082,182,42.6,7.47,0.277,1.017,max
3.974,196,20.9,6.6,0.811,0.148,max
4.09,11,20.5,6.19,0.226,0.298,med
4.641,247,41.7,7.04,0.532,0.889,med
3.636,249,44.7,7.26,0.888,0.521,max
11.168,328,38.6,4.41,0.44,0.131,max
3.927,444,41.7,4.99,0.978,0.213,max
4.481,199,35.3,6.28,0.791,0.327,max
4.175,245,33.0,7.04,0.867,0.232,max
3.801,298,36.7,7.62,1.102,0.735,med
5.437,179,38.1,7.04,0.932,0.748,med
3.456,215,42.9,6.01,0.536,0.473,max
2.891,169,25.0,6.51,0.236,0.144,med
3.686,475,37.7,7.04,0.803,0.345,med
0.634,8,24.4,7.42,0.824,0.861,min
5.538,168,26.6,9.81,0.313,0.902,max
4.411,159,27.9,7.57,0.28,0.305,max
3.111,201,21.6,7.52,0.711,0.34,max
2.951,152,31.7,7.12,0.61,0.512,med
4.398,50,34.2,7.04,0.252,0.965,max
3.987,190,33.1,7.04,0.288,0.526,max
4.5,338,38.3,4.58,0.531,0.516,max
3.793,176,41.7,8.83,0.465,0.375,max
3.472,148,33.1,9.24,0.162,0.65,med
4.955,174,28.4,8.86,0.71,0.842,med
4.453,263,38.1,6.62,0.407,0.455,med
4.646,350,31.9,5.16,1.128,0.592,max
4.139,70,44.2,4.7,0.881,1.028,max
4.777,283,24.5,7.5,0.174,0.775,max
3.996,227,31.5,9.25,0.107,0.983,max
2.665,369,32.9,7.08,0.622,0.628,med
4.181,183,30.0,7.04,0.243,0.5,med
3.772,198,39.9,7.14,0.72,0.751,med
3.9,408,35.9,5.91,0.389,0.6,med
3.403,134,32.4,7.6,0.278,0.173,max
4.177,173,20.5,5.97,0.573,0.639,med
3.75,198,39.9,9.89,0.398,0.399,med
2.102,102,33.8,7.87,0.857,0.618,med
4.462,205,35.9,8.31,0.137,0.868,med
3.959,220,41.0,6.4,1.077,0.124,med
3.978,226,30.2,7.04,0.827,0.811,med
3.066,106,25.6,7.04,0.988,0.455,med
4.574,178,27.9,6.41,0.637,0.205,max
4.728,131,40.9,8.46,0.638,0.207,max
4.29,279,29.6,7.04,0.84,0.493,med
3.398,235,37.4,9.35,0.851,0.451,med
7.493,474,38.6,3.93,0.404,0.186,max
3.783,144,31.7,7.24,0.652,0.285,max
4.801,265,42.4,5.28,0.535,0.874,max
3.762,350,39.5,7.04,0.541,0.202,max
4.218,211,33.5,7.04,0.472,0.568,max
2.224,130,33.2,7.97,0.856,0.599,med
0.383,34,25.0,7.16,1.023,1.042,min
2.962,185,31.2,7.04,0.444,0.213,max
4.19,150,24.1,6.73,1.163,0.272,max
4.9,201,44.0,7.02,0.492,0.826,med
0.625,36,20.8,6.67,0.815,1.045,min
1.776,112,32.3,5.75,0.611,0.561,med
3.652,162,32.9,6.17,0.509,0.292,med
10.618,439,39.2,3.22,0.323,0.388,max
0.149,35,24.9,6.74,0.857,0.799,min
5.178,205,21.0,8.15,0.581,0.841,max
1.121,107,25.8,5.56,0.802,0.633,med
4.752,175,21.9,7.99,0.66,0.786,max
3.924,99,32.8,6.04,0.796,0.468,max
4.032,136,26.4,5.88,0.403,1.126,max
4.481,126,32.1,7.04,1.066,0.452,med
4.469,279,31.8,8.16,0.311,1.053,max
4.93,282,43.8,8.42,0.86,0.467,med
0.89,29,22.9,6.78,1.108,0.825,min
3.741,143,36.5,5.87,0.232,0.568,max
12.728,497,43.4,3.93,0.409,0.118,max
4.063,246,28.9,6.74,1.008,0.447,med
2.856,184,34.6,6.35,0.736,0.896,max
3.665,252,39.8,7.18,0.144,0.982,max
3.635,257,37.9,10.89,0.267,0.575,max
3.211,67,20.5,9.15,0.457,0.566,min
3.66,214,37.3,7.04,0.157,0.358,max
5.104,308,25.1,7.74,0.949,0.671,max
1.624,118,24.1,6.12,0.791,0.847,med
2.612,179,23.0,6.91,0.366,0.81,max
4.409,79,30.2,8.31,0.291,0.631,max
4.154,212,41.1,8.32,0.639,0.874,med
4.763,185,33.8,7.04,0.433,0.408,max
4.295,157,43.7,7.21,0.141,0.149,max
3.993,161,37.6,5.62,0.66,0.411,max
3.139,166,25.2,6.2,1.02,0.109,max
4.211,267,21.8,7.54,0.881,0.494,max
4.063,185,35.7,6.53,0.392,0.341,max
5.537,321,22.1,7.04,0.43,0.595,med
3.707,222,36.4,7.31,1.052,0.452,max
4.699,111,42.9,7.04,0.357,0.933,max
3.871,79,44.8,5.69,0.349,0.515,med
4.569,174,31.0,6.89,0.218,0.278,max
5.649,130,43.4,5.91,0.672,0.293,med
4.583,242,44.2,3.92,0.26,1.078,max
2.634,147,21.6,7.15,1.06,0.119,med
4.408,273,28.0,7.04,1.122,1.12,max
4.931,226,22.3,6.98,0.803,0.537,max
4.042,365,37.4,7.69,0.813,0.791,max
5.457,202,29.9,9.06,0.206,0.777,max
5.847,139,28.0,5.5,0.546,0.197,max
4.32,186,44.8,5.16,0.443,0.532,med
3.93,182,30.6,5.05,0.943,1.068,max
4.576,156,30.2,7.04,0.883,0.446,med
5.063,218,30.8,10.34,0.192,0.145,max
0.823,18,20.8,7.06,1.174,1.028,min
3.357,271,36.8,5.37,0.521,0.39,max
3.419,258,39.2,7.13,1.024,0.653,med
4.202,359,43.6,6.08,0.552,0.47,max
3.075,197,44.8,8.85,0.792,0.166,max
19.855,207,43.3,4.65,0.375,0.098,max
0.522,31,21.7,7.27,0.843,0.78,min
4.258,147,36.4,7.56,0.689,0.854,med
3.667,289,40.1,7.04,0.356,0.6,max
0.294,14,23.1,6.91,1.136,1.11,min
17.022,317,45.8,3.31,0.409,0.145,max
5.006,126,34.5,7.04,0.761,0.693,max
5.057,223,21.6,10.43,0.507,0.817,max
5.037,310,32.7,8.55,0.143,0.902,max
4.638,131,26.2,7.04,0.797,0.745,med
3.441,111,23.6,5.62,0.231,0.165,max
3.507,171,37.0,8.35,0.612,0.104,max
4.192,214,42.7,5.14,0.331,0.357,med
5.036,214,26.4,7.04,1.057,0.125,med
4.596,291,23.0,7.3,0.741,0.722,med
3.617,283,36.4,4.88,0.906,0.977,max
4.197,135,22.2,6.55,0.764,0.619,max
13.989,354,37.9,3.02,0.298,0.164,max
3.531,316,20.1,7.29,0.17,0.25,med
10.768,304,40.3,4.95,0.294,0.368,max
4.601,189,36.3,7.04,0.852,0.609,med
4.346,139,24.6,6.87,0.652,0.555,med
10.141,240,34.6,5.08,0.467,0.31,max
4.599,179,39.2,8.18,0.584,0.436,max
4.532,212,42.3,6.38,1.054,0.195,max
4.316,204,37.7,7.87,1.189,1.051,max
3.313,182,35.8,7.04,0.785,0.609,max
3.292,179,29.2,5.68,0.216,0.586,max
2.439,298,37.5,7.97,0.171,1.129,max
3.955,352,36.9,8.29,0.985,0.919,max
3.784,158,42.1,7.92,0.654,0.737,med
4.046,289,34.2,8.55,1.099,0.138,max
3.383,179,35.2,6.1,1.071,0.157,med
3.804,264,24.0,10.49,1.062,0.338,med
0.377,27,20.4,6.85,0.813,0.781,min
5.192,300,39.7,5.83,1.106,0.129,max
3.641,203,43.4,6.43,0.571,0.935,med
4.29,113,35.5,8.31,0.486,0.943,max
2.347,255,23.9,6.59,0.639,0.632,med
2.952,215,26.2,6.18,0.273,0.533,med
2.979,180,29.4,7.26,0.897,0.503,med
4.43,322,30.6,9.09,0.144,0.655,med
4.799,106,31.2,7.04,0.745,0.695,max
3.885,338,31.5,6.73,0.639,0.288,max
4.138,356,36.6,5.7,0.173,0.332,max
2.841,214,31.4,6.62,0.756,0.775,max
4.3,202,36.4,9.07,0.141,0.928,max
3.299,189,26.6,6.38,0.918,0.781,max
4.691,99,42.7,9.92,0.95,0.371,max
4.143,191,33.4,5.84,0.723,0.62,max
3.414,239,44.3,6.71,0.735,0.51,max
3.611,255,24.1,7.04,0.943,0.238,max
3.183,176,22.8,7.37,1.172,1.107,med
4.334,216,44.6,5.1,0.368,0.221,max
4.602,404,27.6,7.78,0.29,0.66,med
5.033,174,37.4,5.9,0.115,0.531,max
4.56,181,40.4,10.25,0.549,0.781,med
4.535,441,24.5,7.26,0.946,0.958,med
3.985,198,29.6,9.02,0.935,0.609,med
4.291,225,39.4,8.29,0.772,0.357,max
5.115,214,24.3,7.97,0.156,0.41,med
3.04,353,37.4,8.06,0.373,1.132,med
2.373,276,27.2,8.41,0.843,0.403,max
4.171,234,34.6,6.65,0.225,0.534,max
2.665,135,38.4,7.44,0.728,0.266,med
4.306,66,28.9,6.2,0.59,0.739,med
3.806,235,34.7,6.86,1.062,0.237,max
4.238,218,30.5,7.29,0.61,0.936,max
3.458,119,33.0,7.04,0.14,0.607,max
4.523,418,30.8,8.89,1.147,0.394,max
3.301,499,36.5,9.25,1.126,1.0,max
3.631,279,23.7,6.12,0.774,0.455,max
4.003,179,43.6,6.73,0.189,0.697,max
0.233,16,22.7,7.21,1.064,0.862,min
7.588,370,38.0,5.35,0.427,0.443,max
4.292,223,39.0,6.58,0.202,0.421,med
0.176,38,20.6,7.33,1.113,1.033,min
4.238,177,44.6,5.84,0.687,0.814,max
3.808,162,26.8,10.04,0.461,1.042,med
3.299,331,33.4,9.42,0.586,0.869,med
5.672,195,41.8,7.05,0.546,0.588,max
2.805,304,24.5,4.29,0.258,0.4,max
19.372,266,48.1,5.34,0.467,0.304,max
3.715,283,38.2,7.48,0.515,1.131,max
4.363,369,35.6,7.43,0.67,0.453,max
3.504,180,27.2,7.29,0.158,0.923,max
4.688,165,31.6,8.69,1.001,0.227,med
5.159,218,43.5,5.1,0.468,0.721,med
2.615,116,32.9,6.37,0.315,0.305,max
2.756,192,28.4,7.6,0.575,0.719,med
4.133,253,41.7,7.04,0.564,0.301,max
3.968,105,28.3,7.39,0.867,0.83,med
3.516,178,39.9,7.51,0.435,0.186,med
4.219,161,24.4,9.84,0.713,0.347,max
4.15,270,39.7,8.39,1.187,0.669,med
18.115,449,36.8,4.0,0.264,0.441,max
0.529,41,21.6,7.4,0.956,0.754,min
2.685,196,24.7,6.8,0.572,0.838,med
3.026,282,27.3,9.13,0.75,0.219,max
3.197,143,33.5,6.97,0.732,0.846,med
0.461,37,24.7,7.43,0.98,0.795,min
5.458,155,41.5,4.73,0.785,0.272,med
3.205,178,42.7,3.91,0.11,0.938,max
4.319,74,39.3,3.27,1.147,0.677,max
3.358,164,26.7,8.52,0.569,0.196,max
4.752,293,33.7,4.63,1.054,0.756,max
2.019,279,34.0,9.03,0.864,0.541,max
5.204,147,23.6,7.85,0.163,0.899,med
3.916,204,22.8,8.03,0.856,0.259,max
3.165,326,31.9,7.04,1.107,0.238,max
3.701,194,32.4,7.74,1.076,0.155,med
4.529,211,29.2,3.9,0.984,0.874,max
16.402,246,35.5,3.67,0.244,0.213,max
0.358,9,23.5,6.56,1.004,1.149,min
3.153,162,24.8,7.27,0.761,0.182,med
16.019,207,42.9,5.35,0.17,0.239,max
4.155,105,26.8,10.7,0.542,0.505,max
4.589,76,36.1,7.83,0.6,0.413,max
4.768,293,40.7,8.28,1.067,0.89,max
3.312,110,26.8,5.89,0.603,0.606,med
4.472,115,37.4,8.06,0.293,0.271,med
5.304,248,38.7,6.27,1.071,0.435,max
4.895,251,41.8,7.04,0.175,0.175,max
3.317,151,30.7,7.95,0.128,0.525,med
3.632,159,25.0,8.43,0.153,0.403,med
4.962,130,26.9,9.01,0.794,0.438,max
4.4,241,35.1,7.77,1.05,0.986,max
3.37,93,25.5,7.13,0.795,0.576,med
3.695,209,30.6,9.0,0.941,0.61,max
5.123,210,44.7,5.06,0.375,1.097,max
4.581,191,29.6,4.76,0.838,0.768,med
3.233,326,24.0,7.04,0.355,1.058,max
4.992,166,32.6,7.47,0.932,0.607,med
3.109,208,22.7,9.18,0.956,1.051,max
4.646,365,36.6,7.04,0.916,0.37,med
4.089,192,22.0,5.02,1.087,0.542,max
14.447,320,45.8,4.33,0.371,0.221,max
3.893,176,28.6,6.26,0.63,0.735,med
13.99,418,38.4,3.98,0.195,0.089,max
3.828,274,40.2,6.88,1.008,0.344,max
4.602,187,27.5,7.73,0.843,0.726,med
0.309,12,20.9,6.79,0.869,1.109,min
4.444,224,36.8,7.04,0.932,0.812,max
2.89,333,23.7,8.76,0.441,0.849,max
2.747,271,32.1,8.37,0.418,0.284,med
4.458,170,40.6,6.28,0.932,0.283,med
4.246,216,25.2,7.04,1.033,0.396,max
3.856,306,44.6,7.04,1.093,0.463,max
4.185,155,44.4,6.43,1.022,0.37,med
0.731,23,21.7,6.87,1.195,0.766,min
1.264,155,30.0,5.7,0.683,0.644,med
2.91,112,44.3,7.04,0.845,0.274,max
4.584,148,28.0,6.88,0.303,0.197,med
4.308,140,39.0,8.02,0.56,0.235,med
0.239,22,24.8,6.76,1.063,0.88,min
4.432,163,32.8,7.04,1.103,0.593,med
3.718,128,27.6,5.47,0.589,0.249,max
3.739,161,44.0,7.87,0.886,0.148,max
4.034,151,43.5,9.38,0.194,0.498,max
2.93,435,28.4,11.24,1.192,0.17,med
3.355,269,28.5,5.61,0.357,0.468,med
3.721,101,39.2,5.81,0.186,0.575,max
4.268,290,25.5,6.7,0.114,0.564,max
3.6,350,39.7,6.89,0.161,0.127,med
9.974,350,44.0,4.28,0.148,0.175,max
4.318,245,42.0,7.04,1.115,0.904,med
3.319,174,36.6,9.06,0.398,0.725,max
2.575,499,28.9,3.34,0.747,0.9,max
5.459,152,28.8,6.34,1.093,0.105,max
3.216,246,37.2,7.04,0.483,0.339,max
4.128,225,40.4,7.07,0.111,0.354,med
4.699,267,35.6,6.07,1.032,0.452,max
4.459,235,23.2,6.6,0.299,0.485,max
3.592,200,25.3,5.67,0.838,0.93,max
4.6,389,34.6,6.23,0.486,0.466,max
4.308,313,35.8,8.15,0.996,0.933,max
2.926,223,42.1,5.32,0.739,0.31,max
4.455,164,38.7,7.04,1.01,0.337,max
5.777,294,30.1,7.04,0.989,0.362,max
3.686,302,26.7,6.16,0.613,0.789,max
0.316,34,23.8,7.1,0.989,0.915,min
4.716,98,27.9,6.76,0.876,0.801,med
3.679,216,44.9,7.75,0.168,0.783,med
4.187,180,35.9,9.19,0.562,0.193,med
3.666,195,29.7,7.04,0.51,0.968,max
3.845,256,23.2,8.18,1.149,0.549,max
0.389,40,20.4,7.39,1.019,1.077,min
5.107,193,42.5,11.56,0.543,0.917,max
4.467,208,42.7,7.24,0.491,0.729,med
2.447,120,39.4,7.81,0.67,0.922,max
4.478,222,40.7,7.04,0.789,0.143,max
4.076,141,35.2,7.8,0.349,0.9,med
4.038,151,41.9,4.03,0.573,0.974,max
3.873,229,40.4,8.68,0.366,0.262,max
3.474,247,43.9,7.49,0.776,0.935,max
4.553,116,26.5,6.32,0.904,0.221,med
2.989,140,30.3,5.69,0.434,0.923,max
0.253,15,24.9,6.68,1.142,0.947,min
4.103,273,28.8,7.04,0.685,0.933,max
2.848,249,25.4,5.43,0.363,0.122,max
5.452,166,32.6,9.16,0.356,0.735,med
4.394,221,33.4,8.78,0.148,0.385,med
3.646,304,38.8,7.74,0.679,1.025,max
3.466,73,29.2,7.29,0.608,0.531,med
3.411,361,37.4,8.17,1.066,0.14,med
3.896,154,32.6,5.77,0.982,0.928,med
4.963,140,20.4,4.5,0.816,0.811,max
4.605,451,25.5,7.04,0.156,0.435,med
0.31,43,22.2,7.01,0.944,0.987,min
3.463,122,39.0,7.04,0.587,1.021,max
4.031,341,31.3,6.68,0.155,0.67,max
4.33,204,35.9,9.27,0.936,0.423,max
4.14,329,26.4,7.71,0.58,0.829,max
4.515,213,31.6,7.04,0.701,0.896,max
3.742,198,43.5,6.65,0.254,0.617,max
0.29,47,20.1,7.47,0.817,1.106,min
4.358,182,36.4,7.04,1.049,0.771,max
3.645,342,44.7,4.73,0.986,0.127,med
4.184,334,25.0,3.45,0.715,0.497,max
3.733,260,35.0,4.28,0.503,0.269,max
3.416,175,23.4,6.36,0.878,0.942,max
4.362,227,43.8,5.07,0.637,0.341,med
3.354,342,36.2,7.16,0.926,0.271,max
2.759,181,37.8,4.08,0.193,1.036,max
3.422,97,40.4,6.7,1.119,0.144,min
4.906,146,31.9,8.37,1.164,0.494,med
2.817,213,36.6,2.56,0.657,0.547,max
1.4,108,30.1,6.76,0.578,0.794,med
5.235,179,35.8,5.6,1.01,0.946,max
4.13,104,36.9,6.17,0.476,0.404,max
3.686,244,39.1,8.24,0.261,0.393,max
3.877,407,33.5,8.68,0.736,0.509,med
4.074,130,31.2,5.8,0.239,0.525,med
5.01,262,20.8,7.04,1.053,0.131,med
3.983,161,37.9,4.64,0.708,0.431,med
3.363,311,28.1,7.24,0.859,0.465,med
3.19,115,43.5,5.4,0.272,1.048,med
17.43,435,37.7,5.35,0.15,0.4,max
5.076,218,30.0,7.04,1.122,0.939,med
5.75,218,21.8,11.22,0.108,0.548,max
4.556,233,36.8,6.57,1.036,0.287,max
4.561,259,26.5,6.34,0.363,1.173,med
3.422,218,27.1,4.97,0.941,0.823,max
5.035,273,31.8,5.02,0.797,0.677,max
3.579,219,37.4,7.31,0.297,0.147,med
4.22,186,26.9,7.87,0.677,0.498,max
2.115,80,32.4,6.47,0.705,0.647,med
3.528,165,30.4,9.0,0.451,0.343,max
4.543,215,26.5,4.76,0.703,0.204,max
2.938,105,43.1,7.46,0.576,0.101,max
2.993,191,37.0,8.89,0.113,0.827,max
3.663,269,21.8,2.8,0.925,0.322,med
2.714,141,34.4,6.1,0.549,0.529,med
17.26,479,34.6,4.13,0.235,0.398,max
3.665,229,37.4,8.61,1.185,1.035,max
3.046,279,38.5,5.23,0.925,0.78,max
4.523,203,22.1,6.64,0.724,0.193,med
4.459,146,27.1,7.54,0.845,0.789,med
4.668,146,31.5,6.49,0.905,0.56,max
0.464,47,24.8,7.35,0.918,0.904,min
4.052,280,43.4,8.32,0.459,0.399,med
11.117,465,33.8,5.4,0.372,0.303,max
3.266,159,43.6,8.65,0.634,0.14,max
4.661,189,39.8,6.02,0.535,0.471,max
3.391,243,23.1,7.42,0.642,0.45,med
15.132,318,35.3,3.4,0.48,0.402,max
3.179,258,22.8,5.83,0.166,0.577,med
4.635,71,20.1,10.19,0.343,0.764,max
4.289,65,20.9,7.71,0.834,0.187,med
16.277,443,49.1,3.78,0.443,0.103,max
3.371,96,33.1,7.89,0.828,0.451,med
4.285,328,28.8,8.25,0.235,0.924,med
4.242,406,20.8,8.81,1.182,0.71,med
4.107,192,33.0,13.18,0.169,0.213,med
3.295,372,39.1,5.2,0.66,0.846,max
4.328,268,39.4,4.48,0.764,0.436,max
3.184,176,22.0,7.84,0.706,0.1,med
4.595,51,24.2,6.26,0.281,0.861,max
3.941,287,22.2,8.52,0.287,0.97,max
4.32,236,34.9,6.86,0.473,0.803,max
5.218,195,21.7,8.45,0.249,0.184,med
3.275,151,26.5,6.81,0.278,0.248,max
4.55,314,28.9,7.36,0.916,0.274,med
0.616,29,21.2,6.89,1.038,0.949,min
4.132,135,26.0,6.1,0.795,0.215,max
3.486,251,34.1,6.75,0.528,0.331,med
3.633,184,27.7,5.28,0.887,0.207,med
4.547,157,29.9,7.67,0.552,0.766,med
3.684,85,29.3,7.37,0.207,0.869,med
3.652,7,41.2,5.32,0.179,0.415,med
2.877,210,42.3,8.47,0.188,1.119,med
3.896,144,41.5,7.04,0.411,0.614,med
3.446,187,40.8,7.12,1.092,0.265,max
3.634,199,20.8,8.21,0.232,0.927,max
4.107,327,36.5,7.8,0.509,1.024,med
3.932,225,33.9,7.04,0.568,0.667,med
2.86,157,26.7,7.1,0.767,0.515,med
3.541,197,20.5,7.74,0.231,0.915,max
3.841,179,24.7,5.17,0.154,0.56,max
1.821,170,25.6,6.36,0.846,0.512,med
10.388,447,47.0,4.19,0.24,0.195,max
3.947,225,34.6,8.47,0.601,0.73,max
2.049,104,33.8,7.17,0.815,0.632,med
4.142,139,21.4,7.04,0.79,0.997,med
5.343,115,33.8,6.86,0.307,0.447,med
6.371,387,42.4,4.02,0.309,0.409,max
4.403,158,37.2,7.29,1.045,0.683,max
3.817,166,44.6,7.37,0.175,0.442,max
3.49,156,28.5,7.04,1.14,0.676,med
4.013,314,27.3,6.26,0.953,0.736,max
3.979,211,35.3,7.04,0.866,0.355,max
3.888,85,29.8,7.08,0.133,0.148,max
