turbidity,tds,temp,ph,inFlowLpm,outFlowLpm,label
0.18,115.3,20.9,7.52,0.604,0.984,min
3.58,379.1,12.8,5.93,0.531,0.68,med
0.75,10.0,23.2,7.09,1.003,0.787,min
5.14,390.1,26.7,6.41,0.865,0.902,med
4.13,348.1,27.1,8.19,0.569,0.767,med
0.05,10.0,22.5,6.98,0.964,1.108,min
0.53,38.9,22.5,6.92,1.04,1.122,min
8.6,637.8,37.3,7.63,0.131,0.39,max
1.01,10.0,19.1,6.68,0.85,1.1,min
8.81,527.6,36.8,8.8,0.689,0.05,max
6.54,547.3,39.0,8.8,0.074,0.102,max
3.84,187.8,20.8,8.67,0.576,0.461,med
4.22,384.5,24.4,6.74,0.884,0.864,med
2.17,380.2,34.3,6.17,0.789,0.824,med
4.85,388.8,27.9,8.68,1.13,0.533,med
0.15,57.3,21.6,7.18,1.101,0.56,min
1.85,297.8,31.2,6.65,0.366,0.555,med
5.52,541.3,22.1,9.51,0.666,0.295,max
0.05,80.6,28.1,7.96,0.924,1.004,min
0.39,180.0,23.9,7.32,1.177,0.967,min
10.75,852.1,22.7,4.86,0.899,0.585,max
0.07,169.8,21.6,6.86,0.866,0.68,min
0.49,138.5,23.8,7.0,0.773,0.762,min
13.43,948.5,31.2,7.02,0.765,0.504,med
5.94,186.6,38.2,6.74,0.707,0.433,med
4.28,319.2,24.2,8.46,0.651,0.568,med
4.42,345.8,25.8,6.59,0.578,0.808,med
2.84,564.7,28.1,6.69,0.703,0.721,med
3.7,169.5,24.7,7.52,0.789,0.894,med
9.92,579.6,28.1,10.78,0.226,0.376,max
0.52,73.4,21.6,7.83,0.716,0.63,min
3.02,406.5,28.5,7.39,0.696,0.329,med
8.75,713.3,40.1,3.47,0.091,0.331,max
0.66,35.8,24.7,6.98,0.716,1.15,min
3.2,201.6,25.5,5.5,1.082,0.463,med
3.87,319.4,17.8,6.92,0.865,0.839,med
3.32,531.7,26.7,6.97,0.734,0.79,med
2.75,150.0,25.3,7.41,0.903,0.416,med
6.58,487.9,29.0,7.2,0.989,0.766,med
5.07,678.0,41.9,4.18,0.05,0.173,max
0.76,79.9,23.2,7.16,1.038,0.806,min
0.36,126.3,15.6,6.88,0.987,0.82,min
4.66,531.4,25.3,7.74,0.652,0.835,med
7.05,963.5,29.9,7.6,0.508,0.193,max
5.2,688.0,46.1,10.28,0.05,0.628,max
0.35,72.5,20.9,7.66,0.821,0.967,min
8.48,729.1,33.1,10.56,0.5,0.358,max
0.52,30.7,24.6,7.1,0.843,0.78,min
3.03,329.3,18.5,7.36,0.83,0.749,med
2.73,535.5,36.5,6.93,0.586,0.593,med
4.83,541.2,53.6,10.99,1.126,0.204,max
0.59,56.1,26.7,7.15,0.988,0.836,min
0.37,125.3,22.9,7.2,0.778,1.003,min
0.05,23.8,25.1,6.93,0.859,0.848,min
0.12,129.5,25.8,7.27,1.001,0.844,min
8.45,496.2,34.5,5.8,0.512,0.05,max
1.0,248.4,29.2,6.99,0.6,0.69,med
12.01,613.5,43.6,6.36,0.684,0.26,max
3.37,325.5,20.5,6.78,0.539,0.767,med
7.05,688.4,28.7,4.53,0.37,0.629,max
11.22,350.0,46.7,8.8,0.491,0.547,max
8.2,555.8,43.5,7.46,0.393,0.781,max
1.24,261.0,32.5,9.5,0.305,0.61,med
4.8,421.7,21.7,6.55,0.731,0.48,med
0.05,80.0,18.0,7.62,0.874,0.966,min
2.26,267.0,29.6,8.01,0.508,0.535,med
4.48,187.9,33.2,6.89,1.2,0.215,med
1.4,505.0,33.7,5.5,0.622,0.534,med
3.57,487.0,34.8,7.11,1.102,0.629,med
5.41,461.0,24.0,7.09,0.593,0.486,med
1.05,80.7,24.7,6.5,0.844,0.603,med
0.49,114.9,20.6,6.67,0.625,0.926,min
6.11,380.6,31.4,8.8,0.05,0.199,max
12.37,428.1,36.5,6.35,0.403,0.924,max
5.31,382.3,22.6,6.59,0.757,0.612,med
9.98,539.2,31.1,5.8,0.635,0.268,max
7.45,723.7,38.8,8.8,1.07,0.292,max
8.88,350.0,27.1,4.3,0.05,0.191,max
0.5,10.0,19.2,7.57,1.2,1.005,min
4.56,263.9,22.2,6.89,0.567,0.341,med
0.11,167.6,17.9,7.33,0.9,0.912,min
0.55,24.2,18.5,7.16,0.887,0.932,min
0.13,100.1,20.2,6.95,0.902,0.993,min
0.32,58.2,21.1,6.5,0.887,1.15,min
0.58,44.8,21.9,7.0,0.875,1.096,min
5.29,561.4,27.2,7.04,1.142,0.877,med
0.41,162.0,18.9,7.14,0.975,1.119,min
10.11,672.7,29.4,9.46,0.658,0.322,max
0.1,118.1,21.4,6.5,0.808,0.952,min
0.21,10.0,30.0,7.51,0.897,0.811,min
5.64,519.7,27.8,7.14,0.922,0.35,med
4.0,504.8,33.0,7.18,0.145,0.699,max
5.44,350.0,35.8,5.13,0.152,0.437,max
10.46,477.8,50.0,4.83,0.639,0.595,max
1.42,67.2,22.9,7.47,0.904,0.854,min
13.22,462.4,33.8,4.42,0.398,0.05,max
0.26,28.6,23.7,6.86,1.03,0.965,min
0.07,134.6,23.6,6.96,0.91,0.792,min
0.2,38.8,21.5,7.71,0.781,0.965,min
0.81,177.9,24.9,6.9,0.864,0.511,med
2.1,220.9,21.3,9.05,0.806,0.711,max
5.21,385.2,31.5,5.5,0.774,0.503,med
4.0,772.5,43.2,6.54,0.703,0.624,max
1.0,354.9,31.1,6.34,0.715,0.525,med
5.47,150.0,20.7,6.08,0.536,0.717,med
0.57,157.6,28.8,6.7,0.978,1.15,min
0.35,126.3,22.7,7.36,1.004,0.79,min
0.13,124.3,20.9,7.34,0.912,1.072,min
2.32,245.6,11.9,6.71,0.88,0.528,med
0.63,86.8,21.5,7.03,0.959,0.787,min
1.5,97.3,23.2,7.68,0.882,0.823,min
7.1,562.2,49.4,4.29,0.108,0.364,max
4.0,691.0,27.0,10.01,0.456,0.6,max
7.88,596.3,25.3,10.1,0.176,0.754,max
0.12,110.4,27.2,7.91,0.863,0.505,min
2.78,150.0,27.9,6.26,1.038,0.533,med
7.0,444.0,26.4,7.87,0.675,0.823,med
0.99,10.0,20.9,6.5,1.076,1.088,min
8.89,484.1,41.4,9.59,0.522,0.929,max
3.44,396.3,24.5,5.52,0.756,1.092,med
7.42,740.4,45.4,7.1,0.796,0.05,max
9.81,461.7,39.6,9.76,0.697,0.207,max
1.82,255.9,34.7,6.41,0.396,0.757,med
0.35,59.7,21.8,7.18,0.735,1.119,min
7.95,815.2,31.9,5.64,0.819,0.37,max
0.74,154.6,24.2,7.19,0.764,0.899,min
8.51,825.4,47.6,10.01,0.354,0.137,max
